add-none,1,100,200,92102,460,0
add-none,1,1000,2000,81720,40,0
add-none,1,10000,20000,207263,10,0
add-none,1,100000,200000,1597523,7,0
add-none,2,100,400,106581,266,0
add-none,2,1000,4000,97828,24,0
add-none,2,10000,40000,708894,17,-1301
add-none,2,100000,400000,6871609,17,-51105
add-none,4,100,800,162085,202,65
add-none,4,1000,8000,195222,24,-355
add-none,4,10000,80000,1059642,13,-1582
add-none,4,100000,800000,17613061,22,-38831
add-none,8,100,1600,291983,182,0
add-none,8,1000,16000,289552,18,0
add-none,8,10000,160000,4068607,25,606
add-none,8,100000,1600000,29466124,18,-61677
add-yield-none,2,10,40,112224,2805,0
add-yield-none,2,20,80,129656,1620,-20
add-yield-none,2,40,160,140827,880,18
add-yield-none,2,80,320,234294,732,24
add-yield-none,2,100,400,328551,821,17
add-yield-none,2,1000,4000,1796057,449,-1
add-yield-none,2,10000,40000,16474225,411,-199
add-yield-none,2,100000,400000,186716884,466,-621
add-yield-none,4,10,80,141358,1766,11
add-yield-none,4,20,160,187080,1169,22
add-yield-none,4,40,320,217702,680,70
add-yield-none,4,80,640,311727,487,67
add-yield-none,4,100,800,301169,376,33
add-yield-none,4,1000,8000,2085580,260,-63
add-yield-none,4,10000,80000,19106074,238,-45
add-yield-none,4,100000,800000,196261022,245,-9923
add-yield-none,8,10,160,304205,1901,6
add-yield-none,8,20,320,308275,963,39
add-yield-none,8,40,640,303662,474,48
add-yield-none,8,80,1280,388011,303,132
add-yield-none,8,100,1600,428245,267,133
add-yield-none,8,1000,16000,2529048,158,-225
add-yield-none,8,10000,160000,20556101,128,-96
add-yield-none,8,100000,1600000,185747145,116,-6282
add-yield-none,12,10,240,434162,1809,14
add-yield-none,12,20,480,458508,955,127
add-yield-none,12,40,960,438617,456,180
add-yield-none,12,80,1920,531447,276,106
add-yield-none,12,100,2400,538469,224,153
add-yield-none,12,1000,24000,2889401,120,101
add-yield-none,12,10000,240000,26660693,111,-1616
add-yield-none,12,100000,2400000,209055986,87,-11522
add-yield-none,2,100,400,268794,671,0
add-yield-none,2,1000,4000,1922852,480,-57
add-yield-none,2,10000,40000,19744252,493,129
add-yield-none,2,100000,400000,188376161,470,-11651
add-yield-none,8,100,1600,447144,279,172
add-yield-none,8,1000,16000,2735069,170,-476
add-yield-none,8,10000,160000,21087574,131,-736
add-yield-none,8,100000,1600000,202645359,126,-9948
add-none,2,100,400,115022,287,0
add-none,2,1000,4000,99255,24,0
add-none,2,10000,40000,632359,15,956
add-none,2,100000,400000,5664274,14,-23704
add-none,8,100,1600,284006,177,0
add-none,8,1000,16000,412494,25,-95
add-none,8,10000,160000,3485435,21,-440
add-none,8,100000,1600000,33828750,21,-55606
add-none,1,1,2,81263,40631,0
add-none,1,10,20,74471,3723,0
add-none,1,100,200,66921,334,0
add-none,1,1000,2000,83416,41,0
add-none,1,10000,20000,226033,11,0
add-none,1,100000,200000,1647777,8,0
add-yield-m,2,10000,40000,61115250,1527,0
add-yield-m,4,10000,80000,133360838,1667,0
add-yield-m,8,10000,160000,260906445,1630,0
add-yield-m,12,10000,240000,429607595,1790,0
add-yield-c,2,10000,40000,35004808,875,0
add-yield-c,4,10000,80000,75028234,937,0
add-yield-c,8,10000,160000,146840825,917,0
add-yield-c,12,10000,240000,234767774,978,0
add-yield-s,2,1000,4000,3675628,918,0
add-yield-s,4,1000,8000,8724671,1090,0
add-yield-s,8,1000,16000,28622898,1788,0
add-yield-s,12,1000,24000,54466384,2269,0
add-none,1,10000,20000,264048,13,0
add-none,2,10000,40000,567373,14,-954
add-none,4,10000,80000,1711079,21,-1988
add-none,8,10000,160000,3625092,22,-3719
add-none,12,10000,240000,5011470,20,-1142
add-m,1,10000,20000,728863,36,0
add-m,2,10000,40000,3724319,93,0
add-m,4,10000,80000,12171214,152,0
add-m,8,10000,160000,32430741,202,0
add-m,12,10000,240000,51547755,214,0
add-s,1,10000,20000,385119,19,0
add-s,2,10000,40000,3275978,81,0
add-s,4,10000,80000,18142504,226,0
add-s,8,10000,160000,61035668,381,0
add-s,12,10000,240000,128948693,537,0
add-c,1,10000,20000,523145,26,0
add-c,2,10000,40000,2099557,52,0
add-c,4,10000,80000,7208342,90,0
add-c,8,10000,160000,13017918,81,0
add-c,12,10000,240000,23907028,99,0
